time,06-navstatus [adim],05-course [deg],04-speed [knots],03-mslhr [m],02-ellihr [m],01-lonhr [deg],00-lathr [deg]
2025-09-26 00:00:49.000,0.0,0.0,0.039,-54.3998,62.131,-5.439976086,36.128769676
2025-09-26 00:00:49.500,0.0,0.0,0.039,-54.3998,62.1542,-5.439976033,36.128769754
2025-09-26 00:00:50.000,0.0,0.0,0.039,-54.3998,62.1772,-5.439975981,36.128769831
2025-09-26 00:00:50.500,0.0,0.0,0.039,-54.3998,62.2,-5.439975928,36.128769909
2025-09-26 00:00:51.000,0.0,0.0,0.039,-54.3998,62.2226,-5.439975876,36.128769986
2025-09-26 00:00:51.500,0.0,0.0,0.039,-54.3998,62.2449,-5.439975823,36.128770062
2025-09-26 00:00:52.000,0.0,0.0,0.039,-54.3998,62.2671,-5.439975771,36.128770139
2025-09-26 00:00:52.500,0.0,0.0,0.039,-54.3998,62.289,-5.439975718,36.128770215
2025-09-26 00:00:53.000,0.0,0.0,0.039,-54.3998,62.3106,-5.439975665,36.12877029
2025-09-26 00:00:53.500,0.0,0.0,0.039,-54.3998,62.332,-5.439975613,36.128770365
2025-09-26 00:00:54.000,0.0,0.0,0.039,-54.3998,62.353,-5.43997556,36.12877044
2025-09-26 00:00:54.500,0.0,0.0,0.039,-54.3998,62.3738,-5.439975507,36.128770514
2025-09-26 00:00:55.000,0.0,0.0,0.039,-54.3998,62.3943,-5.439975455,36.128770587
2025-09-26 00:00:55.500,0.0,0.0,0.039,-54.3998,62.4145,-5.439975402,36.128770661
2025-09-26 00:00:56.000,0.0,0.0,0.039,-54.3997,62.4343,-5.439975349,36.128770733
2025-09-26 00:00:56.500,0.0,0.0,0.039,-54.3997,62.4538,-5.439975297,36.128770806
2025-09-26 00:00:57.000,0.0,0.0,0.039,-54.3997,62.473,-5.439975244,36.128770877
2025-09-26 00:00:57.500,0.0,0.0,0.04,-54.3997,62.4917,-5.439975192,36.128770948
2025-09-26 00:00:58.000,0.0,0.0,0.04,-54.3997,62.5101,-5.43997514,36.128771019
2025-09-26 00:00:58.500,0.0,0.0,0.04,-54.3997,62.5281,-5.439975087,36.128771089
2025-09-26 00:00:59.000,0.0,0.0,0.04,-54.3997,62.5456,-5.439975035,36.128771158
2025-09-26 00:00:59.500,0.0,0.0,0.04,-54.3997,62.5628,-5.439974983,36.128771227
2025-09-26 00:01:00.000,0.0,0.0,0.04,-54.3997,62.5795,-5.439974931,36.128771295
2025-09-26 00:01:00.500,0.0,0.0,0.04,-54.3997,62.5957,-5.43997488,36.128771363
2025-09-26 00:01:01.000,0.0,0.0,0.04,-54.3997,62.6115,-5.439974828,36.12877143
2025-09-26 00:01:01.500,0.0,0.0,0.04,-54.3997,62.6268,-5.439974777,36.128771496
2025-09-26 00:01:02.000,0.0,0.0,0.04,-54.3997,62.6416,-5.439974726,36.128771562
2025-09-26 00:01:02.500,0.0,0.0,0.04,-54.3997,62.656,-5.439974675,36.128771627
2025-09-26 00:01:03.000,0.0,0.0,0.04,-54.3997,62.6698,-5.439974624,36.128771692
2025-09-26 00:01:03.500,0.0,0.0,0.041,-54.3997,62.6831,-5.439974574,36.128771756
2025-09-26 00:01:04.000,0.0,0.0,0.041,-54.3997,62.6959,-5.439974524,36.128771819
